Time yearly_transpiration_mm yearly_evaporation_mm yearly_Psi_LSymMin yearly_Psi_LSymMax yearly_Psi_LApoMin yearly_Psi_LApoMax yearly_Psi_SSymMin yearly_Psi_SSymMax yearly_Psi_SApoMin yearly_Psi_SApoMax yearly_PLC_Leaf_max yearly_PLC_Stem_max yearly_LFMC_min yearly_FMCCanopy_min yearly_dayOfDeath yearly_dayOfStomatalClosure 
2087 396.7794 35.21252 -3.245222 0 -3.104389 0 -3.07881 0 -3.038482 0 0 0 86.22179 86.22179 NA 226 
2088 218.5926 28.64184 -6.917086 0 -6.879181 0 -6.920966 0 -6.836203 0 63.99201 62.79526 36.08863 21.51735 NA 87 
2089 208.3617 28.73189 -7.07477 0 -7.048701 0 -7.089066 0 -7.017126 0 68.5344 67.71164 33.78834 17.51639 NA 192 
2090 183.3301 18.62096 -8.119436 0 -7.895777 0 -7.469555 0 -7.319219 0 85.7531 75.08336 24.17295 9.017654 213 174 
2091 226.9583 28.73578 -5.04717 0 -4.981553 0 -5.019523 0 -4.975896 0 15.41864 15.33033 63.84499 56.49312 NA 1 
2092 254.0905 31.71104 -5.820902 0 -5.70203 0 -5.772903 0 -5.635936 0 30.20481 28.55947 53.69537 41.864 NA 170 
2093 297.1784 30.72695 -4.282604 0 -4.256058 0 -4.270524 0 -4.242784 0 0 0 75.02542 75.02542 NA 213 
2094 263.479 29.4654 -5.945275 0 -5.920027 0 -5.975334 0 -5.90938 0 35.98608 35.6923 50.83569 38.93661 NA 192 
2095 274.5379 29.23855 -5.579801 0 -5.524776 0 -5.576665 0 -5.497263 0 0 0 66.88268 66.88268 NA 190 
2096 262.8448 30.57828 -6.367113 0 -6.118528 0 -6.027367 0 -5.939638 0 41.77145 36.54292 46.90447 33.65142 NA 201 
2097 227.1713 29.63322 -7.577331 0 -6.884145 0 -6.911313 0 -6.860864 0 64.8878 63.48399 34.04507 15.85239 NA 183 
2098 209.2 34.87792 -7.081193 0 -7.05164 0 -7.103271 0 -7.015549 0 68.61041 67.67026 33.73871 21.60426 NA 184 
2099 190.8278 19.0913 -7.876031 0 -7.724545 0 -7.433648 0 -7.300699 0 83.05392 74.66526 25.82356 10.38673 225 174 
2100 0 0 0 0 0 0 0 0 0 0 0 0 500 500 NA NA 
